School.Name,Family.Income.Tercile,MN_EARN_WNE_INC_P6
Auburn University,Lowest Income Tercile,41900
University of Alabama at Birmingham,Lowest Income Tercile,38600
University of Arkansas,Lowest Income Tercile,38100
California Institute of Technology,Lowest Income Tercile,NA
California State University-Fullerton,Lowest Income Tercile,37400
California State University-East Bay,Lowest Income Tercile,42000
California State University-Long Beach,Lowest Income Tercile,39400
California State University-Dominguez Hills,Lowest Income Tercile,34100
California State University-Chico,Lowest Income Tercile,40600
Humboldt State University,Lowest Income Tercile,30600
California State University-Sacramento,Lowest Income Tercile,40300
San Diego State University,Lowest Income Tercile,40300
California State University-Northridge,Lowest Income Tercile,36700
San Francisco State University,Lowest Income Tercile,42900
San Jose State University,Lowest Income Tercile,46500
California State University-Stanislaus,Lowest Income Tercile,38500
Harvey Mudd College,Lowest Income Tercile,NA
Pomona College,Lowest Income Tercile,NA
Occidental College,Lowest Income Tercile,39300
University of California-Berkeley,Lowest Income Tercile,57000
University of California-Davis,Lowest Income Tercile,45200
University of California-Irvine,Lowest Income Tercile,43700
University of California-Riverside,Lowest Income Tercile,36000
University of California-San Diego,Lowest Income Tercile,47200
University of California-Santa Barbara,Lowest Income Tercile,41400
University of California-Santa Cruz,Lowest Income Tercile,37900
Colorado College,Lowest Income Tercile,NA
Colorado School of Mines,Lowest Income Tercile,75500
Fort Lewis College,Lowest Income Tercile,29500
University of Connecticut,Lowest Income Tercile,47800
Wesleyan University,Lowest Income Tercile,44000
Yale University,Lowest Income Tercile,67800
University of Delaware,Lowest Income Tercile,40200
Florida Atlantic University,Lowest Income Tercile,37300
Florida State University,Lowest Income Tercile,39100
University of Florida,Lowest Income Tercile,47300
Georgia State University,Lowest Income Tercile,37300
University of Georgia,Lowest Income Tercile,47300
Boise State University,Lowest Income Tercile,33700
Idaho State University,Lowest Income Tercile,32100
University of Idaho,Lowest Income Tercile,34100
Illinois Institute of Technology,Lowest Income Tercile,67100
Illinois State University,Lowest Income Tercile,40700
Northern Illinois University,Lowest Income Tercile,36100
Ball State University,Lowest Income Tercile,32900
DePauw University,Lowest Income Tercile,46400
Grinnell College,Lowest Income Tercile,NA
Iowa State University,Lowest Income Tercile,40700
University of Iowa,Lowest Income Tercile,53800
Pittsburg State University,Lowest Income Tercile,35400
Kansas State University,Lowest Income Tercile,38900
University of Kansas,Lowest Income Tercile,47700
Morehead State University,Lowest Income Tercile,28000
University of Kentucky,Lowest Income Tercile,49200
University of Louisiana at Lafayette,Lowest Income Tercile,34400
Bates College,Lowest Income Tercile,NA
Bowdoin College,Lowest Income Tercile,NA
Colby College,Lowest Income Tercile,NA
Amherst College,Lowest Income Tercile,78900
College of the Holy Cross,Lowest Income Tercile,50500
Massachusetts Institute of Technology,Lowest Income Tercile,83500
Mount Holyoke College,Lowest Income Tercile,36000
Smith College,Lowest Income Tercile,35400
Wellesley College,Lowest Income Tercile,46200
Wentworth Institute of Technology,Lowest Income Tercile,48400
Williams College,Lowest Income Tercile,43600
Worcester Polytechnic Institute,Lowest Income Tercile,68600
Eastern Michigan University,Lowest Income Tercile,33000
Michigan State University,Lowest Income Tercile,43800
Wayne State University,Lowest Income Tercile,36900
Western Michigan University,Lowest Income Tercile,31800
Carleton College,Lowest Income Tercile,NA
Gustavus Adolphus College,Lowest Income Tercile,34700
Saint Olaf College,Lowest Income Tercile,41000
Mississippi State University,Lowest Income Tercile,33600
University of Mississippi,Lowest Income Tercile,40500
Montana State University-Billings,Lowest Income Tercile,28700
University of Nevada-Reno,Lowest Income Tercile,40100
University of Nevada-Las Vegas,Lowest Income Tercile,37800
Dartmouth College,Lowest Income Tercile,70300
Princeton University,Lowest Income Tercile,71900
Stevens Institute of Technology,Lowest Income Tercile,63200
New Mexico Institute of Mining and Technology,Lowest Income Tercile,49900
Colgate University,Lowest Income Tercile,NA
Cornell University,Lowest Income Tercile,87300
Hamilton College,Lowest Income Tercile,NA
Rensselaer Polytechnic Institute,Lowest Income Tercile,63900
Rochester Institute of Technology,Lowest Income Tercile,42400
Skidmore College,Lowest Income Tercile,45300
Siena College,Lowest Income Tercile,40200
Binghamton University,Lowest Income Tercile,43100
Stony Brook University,Lowest Income Tercile,43300
Union College,Lowest Income Tercile,49200
Vassar College,Lowest Income Tercile,37600
Appalachian State University,Lowest Income Tercile,31900
Davidson College,Lowest Income Tercile,NA
East Carolina University,Lowest Income Tercile,34200
University of North Carolina at Chapel Hill,Lowest Income Tercile,50900
University of North Carolina at Charlotte,Lowest Income Tercile,36900
Western Carolina University,Lowest Income Tercile,31500
University of North Dakota,Lowest Income Tercile,45300
Cleveland State University,Lowest Income Tercile,33600
Denison University,Lowest Income Tercile,NA
Oberlin College,Lowest Income Tercile,31200
University of Toledo,Lowest Income Tercile,33400
Wittenberg University,Lowest Income Tercile,27600
Lewis and Clark College,Lowest Income Tercile,44400
Oregon State University,Lowest Income Tercile,41300
Portland State University,Lowest Income Tercile,35200
Reed College,Lowest Income Tercile,NA
University of Oregon,Lowest Income Tercile,39200
Bucknell University,Lowest Income Tercile,46800
Carnegie Mellon University,Lowest Income Tercile,76200
Franklin and Marshall College,Lowest Income Tercile,NA
Gettysburg College,Lowest Income Tercile,NA
Juniata College,Lowest Income Tercile,NA
Lafayette College,Lowest Income Tercile,NA
Moravian College,Lowest Income Tercile,43900
Swarthmore College,Lowest Income Tercile,NA
University of Pennsylvania,Lowest Income Tercile,77700
Ursinus College,Lowest Income Tercile,NA
Brown University,Lowest Income Tercile,62000
University of Rhode Island,Lowest Income Tercile,36100
Clemson University,Lowest Income Tercile,45800
Austin Peay State University,Lowest Income Tercile,30000
University of Memphis,Lowest Income Tercile,33200
Tennessee Technological University,Lowest Income Tercile,32500
Lamar University,Lowest Income Tercile,34900
Tarleton State University,Lowest Income Tercile,34900
University of Utah,Lowest Income Tercile,47700
Utah State University,Lowest Income Tercile,37700
Southern Utah University,Lowest Income Tercile,34200
Middlebury College,Lowest Income Tercile,51200
University of Vermont,Lowest Income Tercile,38300
Randolph-Macon College,Lowest Income Tercile,30000
Virginia Commonwealth University,Lowest Income Tercile,37600
University of Richmond,Lowest Income Tercile,47000
George Mason University,Lowest Income Tercile,45800
Virginia Polytechnic Institute and State University,Lowest Income Tercile,49700
Washington and Lee University,Lowest Income Tercile,NA
Eastern Washington University,Lowest Income Tercile,37700
University of Puget Sound,Lowest Income Tercile,45900
Washington State University,Lowest Income Tercile,42900
Western Washington University,Lowest Income Tercile,36800
Whitman College,Lowest Income Tercile,NA
University of Wyoming,Lowest Income Tercile,43500
University of Central Florida,Lowest Income Tercile,38800
Florida International University,Lowest Income Tercile,39800
Auburn University,Middle Income Tercile,42200
University of Alabama at Birmingham,Middle Income Tercile,39400
University of Arkansas,Middle Income Tercile,40700
California Institute of Technology,Middle Income Tercile,NA
California State University-Fullerton,Middle Income Tercile,39500
California State University-East Bay,Middle Income Tercile,48800
California State University-Long Beach,Middle Income Tercile,40200
California State University-Dominguez Hills,Middle Income Tercile,40400
California State University-Chico,Middle Income Tercile,42800
Humboldt State University,Middle Income Tercile,30000
California State University-Sacramento,Middle Income Tercile,42800
San Diego State University,Middle Income Tercile,41200
California State University-Northridge,Middle Income Tercile,37800
San Francisco State University,Middle Income Tercile,42100
San Jose State University,Middle Income Tercile,47900
California State University-Stanislaus,Middle Income Tercile,38100
Harvey Mudd College,Middle Income Tercile,NA
Pomona College,Middle Income Tercile,NA
Occidental College,Middle Income Tercile,41000
University of California-Berkeley,Middle Income Tercile,56100
University of California-Davis,Middle Income Tercile,42700
University of California-Irvine,Middle Income Tercile,43600
University of California-Riverside,Middle Income Tercile,35300
University of California-San Diego,Middle Income Tercile,47900
University of California-Santa Barbara,Middle Income Tercile,42000
University of California-Santa Cruz,Middle Income Tercile,37500
Colorado College,Middle Income Tercile,NA
Colorado School of Mines,Middle Income Tercile,73900
Fort Lewis College,Middle Income Tercile,30100
University of Connecticut,Middle Income Tercile,46500
Wesleyan University,Middle Income Tercile,42500
Yale University,Middle Income Tercile,65900
University of Delaware,Middle Income Tercile,43400
Florida Atlantic University,Middle Income Tercile,40000
Florida State University,Middle Income Tercile,39200
University of Florida,Middle Income Tercile,46800
Georgia State University,Middle Income Tercile,38900
University of Georgia,Middle Income Tercile,43200
Boise State University,Middle Income Tercile,36000
Idaho State University,Middle Income Tercile,36500
University of Idaho,Middle Income Tercile,35400
Illinois Institute of Technology,Middle Income Tercile,58000
Illinois State University,Middle Income Tercile,40200
Northern Illinois University,Middle Income Tercile,38600
Ball State University,Middle Income Tercile,35100
DePauw University,Middle Income Tercile,38100
Grinnell College,Middle Income Tercile,NA
Iowa State University,Middle Income Tercile,43700
University of Iowa,Middle Income Tercile,45500
Pittsburg State University,Middle Income Tercile,37800
Kansas State University,Middle Income Tercile,40100
University of Kansas,Middle Income Tercile,45200
Morehead State University,Middle Income Tercile,30500
University of Kentucky,Middle Income Tercile,42000
University of Louisiana at Lafayette,Middle Income Tercile,37400
Bates College,Middle Income Tercile,NA
Bowdoin College,Middle Income Tercile,NA
Colby College,Middle Income Tercile,NA
Amherst College,Middle Income Tercile,44000
College of the Holy Cross,Middle Income Tercile,45000
Massachusetts Institute of Technology,Middle Income Tercile,95900
Mount Holyoke College,Middle Income Tercile,35600
Smith College,Middle Income Tercile,38200
Wellesley College,Middle Income Tercile,46200
Wentworth Institute of Technology,Middle Income Tercile,55800
Williams College,Middle Income Tercile,41700
Worcester Polytechnic Institute,Middle Income Tercile,66100
Eastern Michigan University,Middle Income Tercile,35900
Michigan State University,Middle Income Tercile,42400
Wayne State University,Middle Income Tercile,38200
Western Michigan University,Middle Income Tercile,35300
Carleton College,Middle Income Tercile,NA
Gustavus Adolphus College,Middle Income Tercile,41100
Saint Olaf College,Middle Income Tercile,41700
Mississippi State University,Middle Income Tercile,37600
University of Mississippi,Middle Income Tercile,40300
Montana State University-Billings,Middle Income Tercile,36800
University of Nevada-Reno,Middle Income Tercile,42700
University of Nevada-Las Vegas,Middle Income Tercile,40500
Dartmouth College,Middle Income Tercile,76300
Princeton University,Middle Income Tercile,64800
Stevens Institute of Technology,Middle Income Tercile,67100
New Mexico Institute of Mining and Technology,Middle Income Tercile,44300
Colgate University,Middle Income Tercile,NA
Cornell University,Middle Income Tercile,70700
Hamilton College,Middle Income Tercile,NA
Rensselaer Polytechnic Institute,Middle Income Tercile,64600
Rochester Institute of Technology,Middle Income Tercile,50000
Skidmore College,Middle Income Tercile,39100
Siena College,Middle Income Tercile,44700
Binghamton University,Middle Income Tercile,47600
Stony Brook University,Middle Income Tercile,43500
Union College,Middle Income Tercile,42800
Vassar College,Middle Income Tercile,36900
Appalachian State University,Middle Income Tercile,33900
Davidson College,Middle Income Tercile,NA
East Carolina University,Middle Income Tercile,37800
University of North Carolina at Chapel Hill,Middle Income Tercile,49400
University of North Carolina at Charlotte,Middle Income Tercile,37900
Western Carolina University,Middle Income Tercile,34100
University of North Dakota,Middle Income Tercile,45200
Cleveland State University,Middle Income Tercile,39700
Denison University,Middle Income Tercile,NA
Oberlin College,Middle Income Tercile,30500
University of Toledo,Middle Income Tercile,37200
Wittenberg University,Middle Income Tercile,34600
Lewis and Clark College,Middle Income Tercile,34400
Oregon State University,Middle Income Tercile,43100
Portland State University,Middle Income Tercile,41600
Reed College,Middle Income Tercile,NA
University of Oregon,Middle Income Tercile,40400
Bucknell University,Middle Income Tercile,61800
Carnegie Mellon University,Middle Income Tercile,84900
Franklin and Marshall College,Middle Income Tercile,NA
Gettysburg College,Middle Income Tercile,NA
Juniata College,Middle Income Tercile,NA
Lafayette College,Middle Income Tercile,NA
Moravian College,Middle Income Tercile,36300
Swarthmore College,Middle Income Tercile,NA
University of Pennsylvania,Middle Income Tercile,92100
Ursinus College,Middle Income Tercile,NA
Brown University,Middle Income Tercile,56600
University of Rhode Island,Middle Income Tercile,41400
Clemson University,Middle Income Tercile,50400
Austin Peay State University,Middle Income Tercile,32400
University of Memphis,Middle Income Tercile,35400
Tennessee Technological University,Middle Income Tercile,35800
Lamar University,Middle Income Tercile,38000
Tarleton State University,Middle Income Tercile,39600
University of Utah,Middle Income Tercile,49900
Utah State University,Middle Income Tercile,38200
Southern Utah University,Middle Income Tercile,34200
Middlebury College,Middle Income Tercile,41100
University of Vermont,Middle Income Tercile,39200
Randolph-Macon College,Middle Income Tercile,36500
Virginia Commonwealth University,Middle Income Tercile,38100
University of Richmond,Middle Income Tercile,48600
George Mason University,Middle Income Tercile,48700
Virginia Polytechnic Institute and State University,Middle Income Tercile,48400
Washington and Lee University,Middle Income Tercile,NA
Eastern Washington University,Middle Income Tercile,38200
University of Puget Sound,Middle Income Tercile,40700
Washington State University,Middle Income Tercile,45100
Western Washington University,Middle Income Tercile,37300
Whitman College,Middle Income Tercile,NA
University of Wyoming,Middle Income Tercile,43900
University of Central Florida,Middle Income Tercile,40600
Florida International University,Middle Income Tercile,43600
Auburn University,Highest Income Tercile,44100
University of Alabama at Birmingham,Highest Income Tercile,40500
University of Arkansas,Highest Income Tercile,43200
California Institute of Technology,Highest Income Tercile,NA
California State University-Fullerton,Highest Income Tercile,39300
California State University-East Bay,Highest Income Tercile,48900
California State University-Long Beach,Highest Income Tercile,41000
California State University-Dominguez Hills,Highest Income Tercile,52900
California State University-Chico,Highest Income Tercile,45500
Humboldt State University,Highest Income Tercile,29700
California State University-Sacramento,Highest Income Tercile,43800
San Diego State University,Highest Income Tercile,43900
California State University-Northridge,Highest Income Tercile,38800
San Francisco State University,Highest Income Tercile,40500
San Jose State University,Highest Income Tercile,47900
California State University-Stanislaus,Highest Income Tercile,43000
Harvey Mudd College,Highest Income Tercile,NA
Pomona College,Highest Income Tercile,49500
Occidental College,Highest Income Tercile,41100
University of California-Berkeley,Highest Income Tercile,60100
University of California-Davis,Highest Income Tercile,47900
University of California-Irvine,Highest Income Tercile,45600
University of California-Riverside,Highest Income Tercile,40000
University of California-San Diego,Highest Income Tercile,50000
University of California-Santa Barbara,Highest Income Tercile,44600
University of California-Santa Cruz,Highest Income Tercile,39300
Colorado College,Highest Income Tercile,37800
Colorado School of Mines,Highest Income Tercile,74900
Fort Lewis College,Highest Income Tercile,31900
University of Connecticut,Highest Income Tercile,52000
Wesleyan University,Highest Income Tercile,48800
Yale University,Highest Income Tercile,69600
University of Delaware,Highest Income Tercile,50500
Florida Atlantic University,Highest Income Tercile,40000
Florida State University,Highest Income Tercile,40400
University of Florida,Highest Income Tercile,49000
Georgia State University,Highest Income Tercile,38400
University of Georgia,Highest Income Tercile,45300
Boise State University,Highest Income Tercile,37900
Idaho State University,Highest Income Tercile,38300
University of Idaho,Highest Income Tercile,36700
Illinois Institute of Technology,Highest Income Tercile,56200
Illinois State University,Highest Income Tercile,42500
Northern Illinois University,Highest Income Tercile,42000
Ball State University,Highest Income Tercile,36200
DePauw University,Highest Income Tercile,45800
Grinnell College,Highest Income Tercile,38800
Iowa State University,Highest Income Tercile,45300
University of Iowa,Highest Income Tercile,46200
Pittsburg State University,Highest Income Tercile,40200
Kansas State University,Highest Income Tercile,43400
University of Kansas,Highest Income Tercile,44000
Morehead State University,Highest Income Tercile,32400
University of Kentucky,Highest Income Tercile,40700
University of Louisiana at Lafayette,Highest Income Tercile,40600
Bates College,Highest Income Tercile,50200
Bowdoin College,Highest Income Tercile,65300
Colby College,Highest Income Tercile,51600
Amherst College,Highest Income Tercile,62300
College of the Holy Cross,Highest Income Tercile,59900
Massachusetts Institute of Technology,Highest Income Tercile,107600
Mount Holyoke College,Highest Income Tercile,37900
Smith College,Highest Income Tercile,37800
Wellesley College,Highest Income Tercile,51300
Wentworth Institute of Technology,Highest Income Tercile,55100
Williams College,Highest Income Tercile,61800
Worcester Polytechnic Institute,Highest Income Tercile,66000
Eastern Michigan University,Highest Income Tercile,37300
Michigan State University,Highest Income Tercile,47000
Wayne State University,Highest Income Tercile,39500
Western Michigan University,Highest Income Tercile,37100
Carleton College,Highest Income Tercile,47500
Gustavus Adolphus College,Highest Income Tercile,45400
Saint Olaf College,Highest Income Tercile,41500
Mississippi State University,Highest Income Tercile,40300
University of Mississippi,Highest Income Tercile,42800
Montana State University-Billings,Highest Income Tercile,39800
University of Nevada-Reno,Highest Income Tercile,42200
University of Nevada-Las Vegas,Highest Income Tercile,39700
Dartmouth College,Highest Income Tercile,75900
Princeton University,Highest Income Tercile,86700
Stevens Institute of Technology,Highest Income Tercile,69300
New Mexico Institute of Mining and Technology,Highest Income Tercile,53100
Colgate University,Highest Income Tercile,56000
Cornell University,Highest Income Tercile,73900
Hamilton College,Highest Income Tercile,58400
Rensselaer Polytechnic Institute,Highest Income Tercile,67900
Rochester Institute of Technology,Highest Income Tercile,54400
Skidmore College,Highest Income Tercile,41500
Siena College,Highest Income Tercile,47700
Binghamton University,Highest Income Tercile,50200
Stony Brook University,Highest Income Tercile,45100
Union College,Highest Income Tercile,54900
Vassar College,Highest Income Tercile,40900
Appalachian State University,Highest Income Tercile,35700
Davidson College,Highest Income Tercile,52200
East Carolina University,Highest Income Tercile,38700
University of North Carolina at Chapel Hill,Highest Income Tercile,49800
University of North Carolina at Charlotte,Highest Income Tercile,40700
Western Carolina University,Highest Income Tercile,34200
University of North Dakota,Highest Income Tercile,45600
Cleveland State University,Highest Income Tercile,40400
Denison University,Highest Income Tercile,43300
Oberlin College,Highest Income Tercile,30700
University of Toledo,Highest Income Tercile,41900
Wittenberg University,Highest Income Tercile,41500
Lewis and Clark College,Highest Income Tercile,31300
Oregon State University,Highest Income Tercile,43500
Portland State University,Highest Income Tercile,40800
Reed College,Highest Income Tercile,37000
University of Oregon,Highest Income Tercile,39800
Bucknell University,Highest Income Tercile,65400
Carnegie Mellon University,Highest Income Tercile,85900
Franklin and Marshall College,Highest Income Tercile,51000
Gettysburg College,Highest Income Tercile,48700
Juniata College,Highest Income Tercile,40200
Lafayette College,Highest Income Tercile,60500
Moravian College,Highest Income Tercile,44500
Swarthmore College,Highest Income Tercile,45200
University of Pennsylvania,Highest Income Tercile,99900
Ursinus College,Highest Income Tercile,43500
Brown University,Highest Income Tercile,69300
University of Rhode Island,Highest Income Tercile,45100
Clemson University,Highest Income Tercile,47700
Austin Peay State University,Highest Income Tercile,32400
University of Memphis,Highest Income Tercile,38000
Tennessee Technological University,Highest Income Tercile,38000
Lamar University,Highest Income Tercile,40700
Tarleton State University,Highest Income Tercile,40300
University of Utah,Highest Income Tercile,41700
Utah State University,Highest Income Tercile,35800
Southern Utah University,Highest Income Tercile,33700
Middlebury College,Highest Income Tercile,48900
University of Vermont,Highest Income Tercile,41500
Randolph-Macon College,Highest Income Tercile,38700
Virginia Commonwealth University,Highest Income Tercile,37000
University of Richmond,Highest Income Tercile,55800
George Mason University,Highest Income Tercile,46500
Virginia Polytechnic Institute and State University,Highest Income Tercile,51300
Washington and Lee University,Highest Income Tercile,59900
Eastern Washington University,Highest Income Tercile,37200
University of Puget Sound,Highest Income Tercile,37500
Washington State University,Highest Income Tercile,45800
Western Washington University,Highest Income Tercile,37900
Whitman College,Highest Income Tercile,36300
University of Wyoming,Highest Income Tercile,44900
University of Central Florida,Highest Income Tercile,40400
Florida International University,Highest Income Tercile,42600
